Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Bengt,Jansson,Åkertorget 516,Mölndal,77510,Sverige,SE,19500222-6353,+46,0499-918 06,1950-02-22,False
Ida,Kokko,Gneissipolku 09,Parainen,51855,Finland,FI,19880712-6162,+358,+358563359909,1988-07-12,True
Lars,Nordström,Genvägen 714,Lidköping,71693,Sverige,SE,19990622-4352,+46,034-46 51 92,1999-06-22,True
Zachary,Vega,Burns Drives 293,Gordonside,56444,Danmark,DK,19551024-1152,+45,672.545.5835x337,1955-10-24,True
Jacqueline,Brown,Hines Divide 3346,Jonesview,82401,Danmark,DK,19520215-5752,+45,+1-745-479-4925x302,1952-02-15,True
Rodney,Rose,Newman Mews 1580,Deanshire,39798,Danmark,DK,19650424-4119,+45,+1-228-525-4499,1965-04-24,True
Ensio,Holmberg,Ilotulituspolku 0,Kannus,61966,Finland,FI,19961113-0603,+358,+358 063380182,1996-11-13,True
Lena,Boman,Storgatan 8,Örnsköldsvik,59797,Sverige,SE,19550224-9716,+46,090-68 70 60,1955-02-24,True
Petteri,Sirviö,Hannukselankatu 19,Tohmajärvi,21888,Finland,FI,19510818-306E,+358,075 931 0239,1951-08-18,True
Erik,Andersson,Genvägen 441,Lidköping,34081,Sverige,SE,19520123-9851,+46,08-16 59 66,1952-01-23,True
Terje,Iversen,Haugenlyngen 36,Anneås,6661,Norge,NO,19540404-1360,+47,+4768695495,1954-04-04,True
Carina,Sundberg,Skogsstigen 7,Linköping,63902,Sverige,SE,19901206-3062,+46,0253-93 51 35,1990-12-06,True
Einar,Bengtsson,Furuvägen 005,Motala,22503,Sverige,SE,19840111-0048,+46,08-56 20 08,1984-01-11,True
Lars,Lundgren,Industrivägen 61,Östersund,78412,Sverige,SE,19921002-8961,+46,+46 (0)41 07 03 73,1992-10-02,True
Hanna,Johansson,Idrottsgatan 057,Södertälje,33501,Sverige,SE,19580320-8237,+46,+46 (0)95 46 51 40,1958-03-20,True
Henrik,Andersson,Industrigatan 03,Karlskrona,65702,Sverige,SE,19500512-7047,+46,088-681 69 45,1950-05-12,True
Vilhelm,Lindqvist,Furuvägen 01,Trollhättan,17202,Sverige,SE,19700824-3885,+46,0740-218 17,1970-08-24,True
Johnny,Arvidsson,Trädgårdsgatan 779,Borås,93377,Sverige,SE,19610511-4746,+46,08-320 316 59,1961-05-11,True
John,Carlsson,Åkervägen 5,Mölndal,70555,Sverige,SE,19551229-5750,+46,+46 (0)8 201 950 05,1955-12-29,True
Mark,Serrano,Michael Valley 36932,Katiefort,14465,Danmark,DK,19910906-9117,+45,(259)653-5836x8291,1991-09-06,True
Teija,Tuominen,Kolupolku 2,Polvijärvi,10305,Finland,FI,19990126-1067,+358,+358 138380446,1999-01-26,True
Becky,Livingston,Scott Road 96510,West James,82438,Danmark,DK,19501206-0486,+45,+1-790-220-3817,1950-12-06,True
Mikael,Johansson,Ringtorget 9,Södertälje,64165,Sverige,SE,19660307-8413,+46,0509-621 50,1966-03-07,True
Petter,Knutsson,Bäcktorget 005,Lidköping,82672,Sverige,SE,19730727-9052,+46,08-291 83 51,1973-07-27,True
Kristian,Andreassen,Larsenvika 6,Linnøy,6936,Norge,NO,19880403-5053,+47,923 52 421,1988-04-03,True
Gösta,Samuelsson,Ektorget 499,Falun,68034,Sverige,SE,19551202-5794,+46,0025-073 99,1955-12-02,True
Jari,Aaltonen,Kimalaiskuja 93,Kittilä,55388,Finland,FI,19930804-596H,+358,+358 797154808,1993-08-04,True
Robin,Svärd,Skolstigen 34,Jönköping,99728,Sverige,SE,19691101-2575,+46,08-73 27 40,1969-11-01,True
Lennart,Jonsson,Åkerstigen 9,Östersund,87110,Sverige,SE,19560922-5902,+46,+46 (0)93 23 41 31,1956-09-22,True
Göran,Johannesson,Villagatan 081,Malmö,90254,Sverige,SE,19481119-3396,+46,043-88 72 00,1948-11-19,True
Liv,Haug,Ahmedgjerdet 1E,Nilsen,6719,Norge,NO,19540304-3618,+47,+4722138296,1954-03-04,True
Laura,Graves,Robert Port 46533,Gloriaview,14618,Danmark,DK,19530302-5666,+45,(639)864-0664x67646,1953-03-02,True
John,Hansson,Furugatan 4,Gävle,48214,Sverige,SE,19910309-6752,+46,08-58 43 82,1991-03-09,True
Gregory,Arias,Brian Stream 2959,North Franklin,38274,Danmark,DK,19950921-8433,+45,(222)778-9791,1995-09-21,True
Jerry,Long,Weiss Way 2818,Cherylshire,74022,Danmark,DK,19740423-0249,+45,(996)917-3618x110,1974-04-23,True
Dag,Strøm,Tveitberget 7E,Jonnes,5956,Norge,NO,19830417-6170,+47,953 47 437,1983-04-17,True
Troy,Wilson,Dunn Cliff 625,Port Roseland,44727,Danmark,DK,19720603-2847,+45,(486)581-2142,1972-06-03,True
Maria,Jensen,Ringgatan 9,Göteborg,80575,Sverige,SE,19800702-2340,+46,08-134 772 86,1980-07-02,True
Alisha,Martin,Crawford Centers 97783,West Amber,82540,Danmark,DK,19920319-0194,+45,330.566.7697x858,1992-03-19,True
Hanna,Karlsson,Genstigen 294,Varberg,54272,Sverige,SE,19961005-7023,+46,045-18 20 82,1996-10-05,True
Alexander,Tveit,Gulbrandsenbråten 3,Gulbrandsen,5332,Norge,NO,19880523-8113,+47,+4733049528,1988-05-23,True
Kristian,Jakobsen,Johnsengrenda 9,Aasen,7824,Norge,NO,19530514-8316,+47,933 37 724,1953-05-14,True
Torsten,Norberg,Björkgränd 71,Landskrona,35467,Sverige,SE,19970903-5722,+46,001-00 48 66,1997-09-03,True
Brian,Jacobs,Gerald Port 9415,Michaelhaven,67195,Danmark,DK,19700304-5961,+45,(844)315-6813x9540,1970-03-04,True
Maj,Persson,Gengränd 36,Södertälje,12948,Sverige,SE,19440411-2701,+46,08-471 67 83,1944-04-11,True
Kenneth,Ali,Bøeroa 7,Johanodden,2629,Norge,NO,19401011-0962,+47,88749875,1940-10-11,True
Sigrid,Bergman,Järnvägsgatan 14,Stockholm,54333,Sverige,SE,19781005-5824,+46,08-653 00 10,1978-10-05,True
Ivar,Hagen,Karlsenvika 8,Aasen,3519,Norge,NO,19870422-0468,+47,44530251,1987-04-22,True
Patrick,Cunningham,Kevin Isle 986,East Matthewville,71950,Danmark,DK,19420815-9542,+45,952.456.8187x470,1942-08-15,True
Ann,Sæther,Johansenspranget 9D,Dahl,8555,Norge,NO,19680725-2719,+47,+4742102436,1968-07-25,True
Ellen,Skoglund,Järnvägsvägen 3,Ängelholm,15143,Sverige,SE,19470910-1849,+46,0798-09 72 90,1947-09-10,True
Svein,Eriksen,Hauglandberget 34C,Irenegrunn,4970,Norge,NO,19640310-9986,+47,93590995,1964-03-10,True
Johanna,Johansson,Asptorget 79,Södertälje,19614,Sverige,SE,19810129-7651,+46,0264-851 76,1981-01-29,True
Otto,Johansson,Strandstigen 13,Västerås,36930,Sverige,SE,19960320-1843,+46,0642-80 36 01,1996-03-20,True
Aud,Ali,Pettersenholtet 3,Kristoffersen,5401,Norge,NO,19930417-8151,+47,+47 44 39 36 13,1993-04-17,True
Petra,Johansson,Industristigen 2,Falun,24605,Sverige,SE,19781102-1404,+46,0925-255 57,1978-11-02,True
Christine,Magnusson,Järnvägsvägen 63,Nyköping,49611,Sverige,SE,19410206-0811,+46,+46 (0)8 882 668 49,1941-02-06,True
Mette,Solberg,Nguyenspranget 45B,Berg,0277,Norge,NO,19990619-1392,+47,45120344,1999-06-19,True
Selena,Aguilar,Samantha Viaduct 99435,Anthonyville,02306,Danmark,DK,19541016-0534,+45,456-772-1055,1954-10-16,True
Kristine,Berge,Jakobsenbråten 1,Berntsen,7977,Norge,NO,19581224-6054,+47,452 81 937,1958-12-24,True
Synnøve,Engen,Moemoen 4,Asbjørnhamn,6488,Norge,NO,19620625-0260,+47,48424968,1962-06-25,True
Anita,Lundgren,Backgatan 3,Skellefteå,36767,Sverige,SE,19500322-2141,+46,+46 (0)033 451 35,1950-03-22,True
Mari,Honkanen,Graniittipolku 3,Kauhava,70778,Finland,FI,19521025-3531,+358,034 795 4834,1952-10-25,True
Martin,Andersson,Skolstigen 0,Karlstad,81051,Sverige,SE,19870311-7842,+46,08-190 104 77,1987-03-11,True
Yvonne,Davidsson,Ekvägen 7,Karlskrona,19385,Sverige,SE,19500314-4278,+46,+46 (0)624 274 84,1950-03-14,True
Christina,Thompson,Hodges Crossroad 445,South Christina,43968,Danmark,DK,19830127-9674,+45,378-933-0014x6583,1983-01-27,True
Pierre,Gustafsson,Bäckgränd 8,Östersund,19655,Sverige,SE,19521025-6058,+46,08-329 80 17,1952-10-25,True
Christian,Benson,Mark Turnpike 311,Randallport,89449,Danmark,DK,19920708-7033,+45,893.926.4293x7918,1992-07-08,True
Birgitta,Johansson,Kyrkgatan 591,Varberg,81881,Sverige,SE,19640424-4088,+46,08-64 95 57,1964-04-24,True
Jörgen,Olsson,Backtorget 5,Uppsala,90656,Sverige,SE,19661214-6307,+46,08-24 94 42,1966-12-14,True
Roland,Persson,Parkvägen 2,Eskilstuna,69796,Sverige,SE,19551123-4216,+46,0149-953 18,1955-11-23,True
Arne,Andersson,Ängsstigen 537,Uddevalla,98542,Sverige,SE,19600903-2538,+46,08-10 27 95,1960-09-03,True
Eva,Olsen,Hagenalléen 5G,Svendsen,0875,Norge,NO,19490221-6042,+47,28820588,1949-02-21,True
Monica,Strøm,Larsenstien 39,Andersvik,7988,Norge,NO,19480729-3098,+47,444 09 868,1948-07-29,True
Carl,Paulsson,Bäckvägen 08,Karlskrona,75571,Sverige,SE,19610423-8589,+46,+46 (0)69 32 75 22,1961-04-23,True
Ulrika,Karlsson,Grangränd 5,Ängelholm,18562,Sverige,SE,19750701-9074,+46,08-976 53 96,1975-07-01,True
Jens,Aasen,Hagenekra 11,Engen,9949,Norge,NO,19750102-0530,+47,88126855,1975-01-02,True
Christy,Gray,Katherine Mall 560,Vincentfurt,12336,Danmark,DK,19710114-1680,+45,(604)596-1030x4227,1971-01-14,True
Mathias,Henriksen,Mathisenplassen 80B,Robertby,2254,Norge,NO,19410708-8634,+47,+47 41 20 76 97,1941-07-08,True
Maj,Larsson,Bäckgatan 31,Kalmar,77029,Sverige,SE,19870224-6637,+46,0233-718 67,1987-02-24,True
Brandon,Chavez,Shannon Walk 057,Garrettfurt,54282,Danwark,DK,19881001-2759,+45,923-501-2903,1988-10-01,True
Mona,Paulsen,Jakobsengata 2,Bakken,2668,Norge,NO,19640415-2471,+47,490 10 151,1964-04-15,True
Jennifer,Johnson,Kevin Grove 6107,Annaburgh,08869,Danmark,DK,19960520-0068,+45,858-712-8249,1996-05-20,True
Matthew,Harrington,Kimberly Lock 81295,Alexandrabury,24486,Danmark,DK,19411113-2719,+45,340.752.8159x9089,1941-11-13,True
Erik,Andersson,Backstigen 35,Varberg,88482,Sverige,SE,19510806-6214,+46,0277-07 30 45,1951-08-06,True
Jens,Thomassen,Næssbakken 7,Mayås,9938,Norge,NO,19820402-4227,+47,99096537,1982-04-02,True
Jenna,Gill,Schultz Wells 7394,New Denise,90578,Danmark,DK,19670315-4933,+45,(723)344-0284x4192,1967-03-15,True
Per,Bergqvist,Skolvägen 4,Umeå,44774,Sverige,SE,19701129-4152,+46,0508-33 59 32,1970-11-29,True
Margaretha,Sandström,Furustigen 67,Stockholm,74708,Sverige,SE,19450828-4748,+46,+46 (0)005 554 17,1945-08-28,True
Nils,Hansson,Kyrkovägen 2,Falun,45177,Sveriget,SE,19700318-7462,+46,08-031 61 07,1970-03-18,True
Mary,Parker,Danielle Falls 1275,Kristinfurt,85057,Danmark,DK,19490403-7232,+45,+1-624-951-0271,1949-04-03,True
